Lab,Num,INF-all,INF-wc,INF-nwc,INF-stack,RMSD,Solution
3dRNA,1,0.7062,0.7845,0.4082,0.6963,18.8214,18_solution_0_rpr.pdb
3dRNA,2,0.7223,0.7600,0.4714,0.7273,19.2070,18_solution_0_rpr.pdb
3dRNA,3,0.7222,0.8165,0.4082,0.7073,20.2869,18_solution_0_rpr.pdb
3dRNA,4,0.6782,0.7845,,0.6781,12.4490,18_solution_0_rpr.pdb
3dRNA,5,0.6599,0.7600,0.2357,0.6500,24.0912,18_solution_0_rpr.pdb
Chen,1,0.7939,0.9623,0.5774,0.7379,3.7397,18_solution_0_rpr.pdb
Chen,2,0.8285,0.9600,0.5774,0.7936,6.6358,18_solution_0_rpr.pdb
Chen,3,0.7032,0.7600,,0.7203,9.1653,18_solution_0_rpr.pdb
Chen,4,0.6809,0.7757,,0.6803,9.2731,18_solution_0_rpr.pdb
Chen,5,0.7008,0.7600,,0.7227,15.8484,18_solution_0_rpr.pdb
Das,1,0.8525,0.9806,0.6172,0.8236,5.4962,18_solution_0_rpr.pdb
Das,2,0.8729,0.9806,0.5477,0.8572,3.8775,18_solution_0_rpr.pdb
Das,3,0.8650,0.9806,0.5774,0.8500,5.6329,18_solution_0_rpr.pdb
Das,4,0.8528,0.9623,0.3651,0.8512,5.6982,18_solution_0_rpr.pdb
Das,5,0.8020,0.9165,0.3651,0.7980,10.9037,18_solution_0_rpr.pdb
Ding,1,0.6253,0.6668,0.2887,0.6336,20.2801,18_solution_0_rpr.pdb
Ding,2,0.7019,0.7845,,0.7073,21.1300,18_solution_0_rpr.pdb
Ding,3,0.6563,0.6800,,0.6916,16.4499,18_solution_0_rpr.pdb
Ding,4,0.4779,0.2800,,0.5908,24.9244,18_solution_0_rpr.pdb
Ding,5,0.6614,0.7845,,0.6522,16.1484,18_solution_0_rpr.pdb
Dokholyan,1,0.7044,0.8237,,0.6940,8.4403,18_solution_0_rpr.pdb
Dokholyan,2,0.7216,0.8083,,0.7201,11.9535,18_solution_0_rpr.pdb
Dokholyan,3,0.6496,0.8400,,0.6068,7.9030,18_solution_0_rpr.pdb
Lee,1,0.5606,0.6158,0.2887,0.5581,22.7929,18_solution_0_rpr.pdb
Lee,2,0.6173,0.6400,,0.6383,21.1589,18_solution_0_rpr.pdb
Lee,3,0.4294,0.2919,,0.5164,21.4211,18_solution_0_rpr.pdb
Lee,4,0.5816,0.6276,,0.5908,22.1576,18_solution_0_rpr.pdb
Lee,5,0.5810,0.6400,,0.5842,24.5493,18_solution_0_rpr.pdb
LeeASmodel,1,0.5474,0.6276,,0.5578,23.1716,18_solution_0_rpr.pdb
LeeASmodel,2,0.6173,0.6400,,0.6390,23.4979,18_solution_0_rpr.pdb
LeeASmodel,3,0.4354,0.2985,,0.5255,21.4251,18_solution_0_rpr.pdb
LeeASmodel,4,0.5931,0.6400,,0.6025,18.9184,18_solution_0_rpr.pdb
LeeASmodel,5,0.6012,0.6400,,0.6149,18.4542,18_solution_0_rpr.pdb
Nikolay,1,0.1897,,,0.2631,25.1974,18_Nikolay_1_rpr_solution.pdb
RNAComposer,1,0.6900,0.7845,0.4714,0.6662,20.7370,18_solution_0_rpr.pdb
RNAComposer,2,0.7003,0.8165,0.4714,0.6689,21.1431,18_solution_0_rpr.pdb
RNAComposer,3,0.6690,0.6668,0.4082,0.6968,20.6187,18_solution_0_rpr.pdb
RNAComposer,4,0.7003,0.7845,0.4082,0.6895,20.7738,18_solution_0_rpr.pdb
RNAComposer,5,0.6380,0.7600,0.4082,0.6033,15.2106,18_solution_0_rpr.pdb
RW3D,1,0.6647,0.7845,0.3651,0.6403,16.3462,18_solution_0_rpr.pdb
RW3D,2,0.6536,0.7845,0.3651,0.6228,9.8196,18_solution_0_rpr.pdb
RW3D,3,0.6766,0.7698,0.4082,0.6591,12.4902,18_solution_0_rpr.pdb
RW3D,4,0.6915,0.7698,0.4714,0.6755,11.5093,18_solution_0_rpr.pdb
RW3D,5,0.6690,0.7698,0.4082,0.6472,13.3624,18_solution_0_rpr.pdb
RW3D,6,0.6658,0.7845,0.2887,0.6403,10.3421,18_solution_0_rpr.pdb
RW3D,7,0.6841,0.7698,0.4082,0.6708,14.9573,18_solution_0_rpr.pdb
RW3D,8,0.6614,0.7698,0.4714,0.6281,15.7073,18_solution_0_rpr.pdb
RW3D,9,0.6779,0.7845,0.4714,0.6472,17.2076,18_solution_0_rpr.pdb
RW3D,10,0.6734,0.7698,0.4082,0.6543,13.3830,18_solution_0_rpr.pdb
YagoubAli,1,0.6373,0.7845,0.4082,0.5901,18.6711,18_solution_0_rpr.pdb
simRNA,1,0.5083,0.2921,0.4082,0.6219,23.1414,18_solution_0_rpr.pdb
simRNA,2,0.6172,0.7060,0.2357,0.6086,10.2768,18_solution_0_rpr.pdb
simRNA,3,0.5868,0.5774,0.2887,0.6149,24.6325,18_solution_0_rpr.pdb
