metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.31685513983029834,0.005949651636020313,0.28671106226583387,0.01326307965238527,0.19232288253075336,0.015991898937498077,74
DI_all,False,0.7502556499954479,1.424319226374499e-14,0.9108211395922008,2.2104754195872904e-29,0.7571483707049979,1.777894906232162e-21,74
INF_all,True,0.6302432199524389,1.7775585416534062e-09,0.5528394722257433,3.2654767142931525e-07,0.41060390703244515,3.1528649430297754e-07,74
INF_nwc,True,-0.16149422280359932,0.16925035611245276,-0.07190309959559832,0.5426621257555975,-0.06317391572414405,0.45781441872575834,74
INF_stacking,True,0.7421950345623924,3.8243173366033915e-14,0.6054283556883199,1.1012469175461299e-08,0.4512977714318589,2.0672634223364036e-08,74
INF_wc,True,0.38007253583554523,0.0008373849998860681,0.5688222533492262,1.240361354372358e-07,0.41322155121317405,5.165456871364562e-07,74
mcq,False,0.5122193093385474,3.0855231096143744e-06,0.5779328023879974,6.978976956486516e-08,0.3920551159690487,8.267310484541236e-07,74
P-value,False,0.3448934437785478,0.002618578519240437,0.8843435780661144,1.5973440086395187e-25,0.7110518163180032,1.3737930326940485e-18,74
RMSD,False,0.8383781387861217,1.1790621938182489e-20,0.8841869835374614,1.6723523130944865e-25,0.7148430366706674,2.6868046973251096e-19,74
TM-score,True,0.7598771088855164,4.166758816683363e-15,0.689536748544965,1.0938433218590713e-11,0.5278832747057398,4.353965638703894e-11,74
lDDT,True,0.8044574204304247,5.974277454403216e-18,0.7948733607228863,2.793331917493832e-17,0.6279702506578833,4.006812463807808e-15,74
