metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.03464702998476196,0.789207961115834,-0.3118739489895381,0.013601944858735691,-0.2185425620925471,0.01310603025790319,62
DI_all,False,0.7617489133105472,6.511459813384914e-13,0.954314210650003,3.580511906099341e-33,0.832759340901039,1.3731715443625601e-21,62
INF_all,True,0.8216481708136698,2.788180917687663e-16,0.8550482187932755,9.20209420994131e-19,0.7000308077414619,1.32470624751103e-15,62
INF_nwc,True,0.5635888586283608,1.8479325789979678e-06,0.5671235667109997,1.5405349966018893e-06,0.4505709353778192,3.406457334052435e-06,62
INF_stacking,True,0.8289522840466002,8.891613968285159e-17,0.8055114802294998,2.9247965712173882e-15,0.6301533596812359,5.984429509121265e-13,62
INF_wc,True,0.6759557605869316,1.6564199328710904e-09,0.8043267085041077,3.4457157084010487e-15,0.6562111065850931,4.696901115066125e-13,62
mcq,False,0.2644324736437488,0.03781110730968309,0.31234574159403933,0.01345330064966107,0.23376630766222672,0.00738098958350851,62
P-value,False,0.29866983321443275,0.018375410702640073,0.9235806789417311,1.1582128800761765e-26,0.758011398851084,1.094037073396819e-17,62
RMSD,False,0.8065709077578673,2.5236521354744686e-15,0.9291291000554184,1.3084389974277531e-27,0.7744502845680573,6.942326014798618e-19,62
TM-score,True,0.8626505614060264,2.0492339411024613e-19,0.8626161936474834,2.0636089338926495e-19,0.6854579583368042,4.770903487533565e-15,62
lDDT,True,0.889864663409019,4.0797153478798857e-22,0.9159603559587783,1.7945910587183194e-25,0.7771587198431262,6.144927503294839e-19,62
