Report for set: PZ34
Processed 101 / 101 models (missing solution for 0 models)
========================================================================================================================
Model                                              Solution                                           Status          Details                       
------------------------------------------------------------------------------------------------------------------------
PZ34_ARESapo_10_refined.pdb                        PZ34_ARESapo_10_solution.pdb                       SUCCESS         26.337                        
PZ34_ARESapo_1_refined.pdb                         PZ34_ARESapo_1_solution.pdb                        SUCCESS         28.448                        
PZ34_ARESapo_2_refined.pdb                         PZ34_ARESapo_2_solution.pdb                        SUCCESS         25.995                        
PZ34_ARESapo_3_refined.pdb                         PZ34_ARESapo_3_solution.pdb                        SUCCESS         27.998                        
PZ34_ARESapo_4_refined.pdb                         PZ34_ARESapo_4_solution.pdb                        SUCCESS         25.272                        
PZ34_ARESapo_5_refined.pdb                         PZ34_ARESapo_5_solution.pdb                        SUCCESS         28.907                        
PZ34_ARESapo_6_refined.pdb                         PZ34_ARESapo_6_solution.pdb                        SUCCESS         25.252                        
PZ34_ARESapo_7_refined.pdb                         PZ34_ARESapo_7_solution.pdb                        SUCCESS         24.751                        
PZ34_ARESapo_8_refined.pdb                         PZ34_ARESapo_8_solution.pdb                        SUCCESS         25.442                        
PZ34_ARESapo_9_refined.pdb                         PZ34_ARESapo_9_solution.pdb                        SUCCESS         27.326                        
PZ34_ARESgua_10_refined.pdb                        PZ34_ARESgua_10_solution.pdb                       SUCCESS         25.499                        
PZ34_ARESgua_1_refined.pdb                         PZ34_ARESgua_1_solution.pdb                        SUCCESS         25.711                        
PZ34_ARESgua_2_refined.pdb                         PZ34_ARESgua_2_solution.pdb                        SUCCESS         26.312                        
PZ34_ARESgua_3_refined.pdb                         PZ34_ARESgua_3_solution.pdb                        SUCCESS         25.275                        
PZ34_ARESgua_4_refined.pdb                         PZ34_ARESgua_4_solution.pdb                        SUCCESS         30.863                        
PZ34_ARESgua_5_refined.pdb                         PZ34_ARESgua_5_solution.pdb                        SUCCESS         27.267                        
PZ34_ARESgua_6_refined.pdb                         PZ34_ARESgua_6_solution.pdb                        SUCCESS         25.757                        
PZ34_ARESgua_7_refined.pdb                         PZ34_ARESgua_7_solution.pdb                        SUCCESS         25.088                        
PZ34_ARESgua_8_refined.pdb                         PZ34_ARESgua_8_solution.pdb                        SUCCESS         25.669                        
PZ34_ARESgua_9_refined.pdb                         PZ34_ARESgua_9_solution.pdb                        SUCCESS         25.19                         
PZ34_Bujnicki_1_refined.pdb                        PZ34_Bujnicki_1_solution.pdb                       SUCCESS         26.193                        
PZ34_Bujnicki_2_refined.pdb                        PZ34_Bujnicki_2_solution.pdb                       SUCCESS         25.354                        
PZ34_Bujnicki_3_refined.pdb                        PZ34_Bujnicki_3_solution.pdb                       SUCCESS         17.97                         
PZ34_Bujnicki_4_refined.pdb                        PZ34_Bujnicki_4_solution.pdb                       SUCCESS         18.273                        
PZ34_Bujnicki_5_refined.pdb                        PZ34_Bujnicki_5_solution.pdb                       SUCCESS         28.066                        
PZ34_Chen_10_refined.pdb                           PZ34_Chen_10_solution.pdb                          SUCCESS         21.039                        
PZ34_Chen_1_refined.pdb                            PZ34_Chen_1_solution.pdb                           SUCCESS         26.72                         
PZ34_Chen_2_refined.pdb                            PZ34_Chen_2_solution.pdb                           SUCCESS         25.674                        
PZ34_Chen_3_refined.pdb                            PZ34_Chen_3_solution.pdb                           SUCCESS         35.994                        
PZ34_Chen_4_refined.pdb                            PZ34_Chen_4_solution.pdb                           SUCCESS         22.283                        
PZ34_Chen_5_refined.pdb                            PZ34_Chen_5_solution.pdb                           SUCCESS         26.363                        
PZ34_Chen_6_refined.pdb                            PZ34_Chen_6_solution.pdb                           SUCCESS         25.028                        
PZ34_Chen_7_refined.pdb                            PZ34_Chen_7_solution.pdb                           SUCCESS         27.394                        
PZ34_Chen_8_refined.pdb                            PZ34_Chen_8_solution.pdb                           SUCCESS         22.39                         
PZ34_Chen_9_refined.pdb                            PZ34_Chen_9_solution.pdb                           SUCCESS         22.898                        
