Lab,Num,INF all
Bujnicki,4,0.826
Bujnicki,1,0.864
Bujnicki,5,0.798
Das,2,0.745
Bujnicki,3,0.823
Bujnicki,2,0.842
RNAComposerHuman,5,0.850
Das,1,0.757
Das,3,0.745
Das,4,0.742
RNAComposer,4,0.785
RNAComposerHuman,1,0.752
RNAComposer,3,0.764
RNAComposer,5,0.824
Xiao3,5,0.720
Chen,2,0.701
RNAComposerHuman,4,0.739
RNAComposerHuman,2,0.767
Chen,4,0.797
Chen,3,0.710
RNAComposer,2,0.760
Chen,5,0.543
RNAComposer,1,0.799
Xiao,3,0.532
Xiao2,3,0.532
RNAComposerHuman,3,0.748
Das,5,0.740
RW3D,8,0.710
RW3D,9,0.697
RW3D,3,0.715
simRNA,1,0.381
RW3D,7,0.685
RW3D,10,0.697
RW3D,4,0.680
Xiao3,1,0.664
RW3D,2,0.702
RW3D,1,0.707
Xiao2,4,0.482
Xiao,4,0.482
Xiao3,3,0.660
simRNA,4,0.495
Xiao3,4,0.683
Xiao3,2,0.669
Xiao,2,0.520
simRNA,5,0.501
Xiao2,2,0.520
RW3D,6,0.719
Chen,1,0.746
RW3D,5,0.707
Xiao,5,0.490
Xiao2,5,0.490
simRNA,3,0.355
simRNA,2,0.498
Xiao2,1,0.628
Xiao,1,0.628
