Lab,Num,INF all
Das,6,0.744
FARFAR2,4,0.744
FARFAR2,8,0.749
TFN,3,0.804
SimRNA,4,0.746
TFN,7,0.764
Chen,9,0.811
FARFAR2,5,0.754
Das,5,0.769
FARFAR2,3,0.769
SimRNA,2,0.746
TFN,4,0.813
Adamiak,4,0.777
Ding,3,0.733
Das,3,0.798
FARFAR2,10,0.798
Das,4,0.764
FARFAR2,2,0.764
Das,10,0.794
Das,1,0.780
Bujnicki,2,0.785
Das,2,0.744
FARFAR2,1,0.744
TFN,8,0.755
Ding,1,0.814
SimRNA,3,0.752
SimRNA,5,0.829
Das,7,0.773
FARFAR2,6,0.773
Das,8,0.754
FARFAR2,7,0.754
TFN,6,0.786
iFoldRNA,1,0.788
Bujnicki,3,0.789
Bujnicki,4,0.763
TFN,2,0.759
SimRNA,1,0.810
Chen,5,0.780
TFN,9,0.769
Das,9,0.798
Ding,2,0.777
Chen,6,0.721
Bujnicki,1,0.800
Bujnicki,5,-1.000
Chen,8,0.756
FARFAR2,9,0.739
TFN,1,0.754
Chen,4,0.684
RNAComposer,3,-1.000
iFoldRNA,2,0.755
TFN,10,0.759
Chen,2,0.701
Adamiak,1,-1.000
Chen,10,0.783
Chen,7,0.739
Chen,1,0.774
TFN,5,0.800
Chen,3,0.767
Adamiak,2,0.770
Adamiak,3,0.797
Xiao,1,0.439
RNAComposer,1,-1.000
RNAComposer,2,-1.000
Xiao,3,0.396
Xiao,4,0.396
Xiao,5,0.396
Xiao,2,0.396
