ModelGroup,BestModel,BestSolution,lDDT
3dRNAAS2_1,PZ16b_3dRNAAS2_1_refined.pdb,PZ16b_3dRNAAS2_1_solution.pdb,0.698
3dRNAAS2_10,PZ16b_3dRNAAS2_10_refined.pdb,PZ16b_3dRNAAS2_10_solution.pdb,0.796
3dRNAAS2_2,PZ16b_3dRNAAS2_2_refined.pdb,PZ16b_3dRNAAS2_2_solution.pdb,0.749
3dRNAAS2_3,PZ16b_3dRNAAS2_3_refined.pdb,PZ16b_3dRNAAS2_3_solution.pdb,0.684
3dRNAAS2_4,PZ16b_3dRNAAS2_4_refined.pdb,PZ16b_3dRNAAS2_4_solution.pdb,0.719
3dRNAAS2_5,PZ16b_3dRNAAS2_5_refined.pdb,PZ16b_3dRNAAS2_5_solution.pdb,0.800
3dRNAAS2_6,PZ16b_3dRNAAS2_6_refined.pdb,PZ16b_3dRNAAS2_6_solution.pdb,0.800
3dRNAAS2_7,PZ16b_3dRNAAS2_7_refined.pdb,PZ16b_3dRNAAS2_7_solution.pdb,0.800
3dRNAAS2_8,PZ16b_3dRNAAS2_8_refined.pdb,PZ16b_3dRNAAS2_8_solution.pdb,0.680
3dRNAAS2_9,PZ16b_3dRNAAS2_9_refined.pdb,PZ16b_3dRNAAS2_9_solution.pdb,0.769
Chen_1,PZ16b_Chen_1_refined.pdb,PZ16b_Chen_1_solution.pdb,0.883
Chen_10,PZ16b_Chen_10_refined.pdb,PZ16b_Chen_10_solution.pdb,0.283
Chen_2,PZ16b_Chen_2_refined.pdb,PZ16b_Chen_2_solution.pdb,0.486
Chen_3,PZ16b_Chen_3_refined.pdb,PZ16b_Chen_3_solution.pdb,0.485
Chen_4,PZ16b_Chen_4_refined.pdb,PZ16b_Chen_4_solution.pdb,0.291
Chen_5,PZ16b_Chen_5_refined.pdb,PZ16b_Chen_5_solution.pdb,0.318
Chen_6,PZ16b_Chen_6_refined.pdb,PZ16b_Chen_6_solution.pdb,0.328
Chen_7,PZ16b_Chen_7_refined.pdb,PZ16b_Chen_7_solution.pdb,0.329
Chen_8,PZ16b_Chen_8_refined.pdb,PZ16b_Chen_8_solution.pdb,0.325
Chen_9,PZ16b_Chen_9_refined.pdb,PZ16b_Chen_9_solution.pdb,0.354
Lee_1,PZ16b_Lee_1_refined.pdb,PZ16b_Lee_1_solution.pdb,0.585
Lee_10,PZ16b_Lee_10_refined.pdb,PZ16b_Lee_10_solution.pdb,0.552
Lee_2,PZ16b_Lee_2_refined.pdb,PZ16b_Lee_2_solution.pdb,0.599
Lee_3,PZ16b_Lee_3_refined.pdb,PZ16b_Lee_3_solution.pdb,0.613
Lee_4,PZ16b_Lee_4_refined.pdb,PZ16b_Lee_4_solution.pdb,0.580
Lee_5,PZ16b_Lee_5_refined.pdb,PZ16b_Lee_5_solution.pdb,0.583
Lee_6,PZ16b_Lee_6_refined.pdb,PZ16b_Lee_6_solution.pdb,0.607
Lee_7,PZ16b_Lee_7_refined.pdb,PZ16b_Lee_7_solution.pdb,0.552
Lee_8,PZ16b_Lee_8_refined.pdb,PZ16b_Lee_8_solution.pdb,0.572
Lee_9,PZ16b_Lee_9_refined.pdb,PZ16b_Lee_9_solution.pdb,0.552
RNAComposerAS1_1,PZ16b_RNAComposerAS1_1_refined.pdb,PZ16b_RNAComposerAS1_1_solution.pdb,0.809
RNAComposerAS1_10,PZ16b_RNAComposerAS1_10_refined.pdb,PZ16b_RNAComposerAS1_10_solution.pdb,0.827
RNAComposerAS1_2,PZ16b_RNAComposerAS1_2_refined.pdb,PZ16b_RNAComposerAS1_2_solution.pdb,0.877
RNAComposerAS1_3,PZ16b_RNAComposerAS1_3_refined.pdb,PZ16b_RNAComposerAS1_3_solution.pdb,0.865
RNAComposerAS1_4,PZ16b_RNAComposerAS1_4_refined.pdb,PZ16b_RNAComposerAS1_4_solution.pdb,0.848
RNAComposerAS1_5,PZ16b_RNAComposerAS1_5_refined.pdb,PZ16b_RNAComposerAS1_5_solution.pdb,0.847
RNAComposerAS1_6,PZ16b_RNAComposerAS1_6_refined.pdb,PZ16b_RNAComposerAS1_6_solution.pdb,0.839
RNAComposerAS1_7,PZ16b_RNAComposerAS1_7_refined.pdb,PZ16b_RNAComposerAS1_7_solution.pdb,0.888
RNAComposerAS1_8,PZ16b_RNAComposerAS1_8_refined.pdb,PZ16b_RNAComposerAS1_8_solution.pdb,0.851
